filename,hour_of_recording,minute_of_hour,SRWA,observer,notes
SWIFT01_20230128_100027,1,4,FALSE,,
SWIFT01_20230128_180047,0,24,TRUE,,
SWIFT01_20230128_180047,0,45,FALSE,,
SWIFT01_20230128_180047,0,42,FALSE,,
SWIFT01_20230128_180047,0,58,FALSE,,
SWIFT01_20230128_180047,1,53,FALSE,,
SWIFT01_20230128_180047,1,44,FALSE,,
SWIFT01_20230128_180047,1,38,FALSE,,
SWIFT01_20230128_180047,1,10,FALSE,,
SWIFT01_20230203_000000,0,21,FALSE,,
SWIFT01_20230203_000000,0,32,FALSE,,
SWIFT01_20230203_000000,0,6,FALSE,,
SWIFT01_20230203_000000,0,22,FALSE,,
SWIFT01_20230203_000000,1,55,FALSE,,
SWIFT01_20230203_000000,1,12,FALSE,,
SWIFT01_20230203_000000,1,11,FALSE,,
SWIFT01_20230203_000000,1,45,FALSE,,
SWIFT01_20230228_214701,0,19,FALSE,,
SWIFT01_20230228_214701,0,12,FALSE,,
SWIFT01_20230228_214701,0,17,FALSE,,
SWIFT01_20230228_214701,0,15,FALSE,,
SWIFT01_20230228_214701,1,36,FALSE,,
SWIFT01_20230228_214701,1,29,FALSE,,
SWIFT01_20230228_214701,1,16,FALSE,,
SWIFT01_20230228_214701,1,7,FALSE,,
SWIFT01_20230301_020008,0,43,FALSE,,
SWIFT01_20230301_020008,0,54,FALSE,,
SWIFT01_20230301_020008,0,55,FALSE,,
SWIFT01_20230301_020008,0,10,FALSE,,
SWIFT01_20230301_020008,1,19,FALSE,,
SWIFT01_20230301_020008,1,30,FALSE,,
SWIFT01_20230301_020008,1,0,FALSE,,
SWIFT01_20230301_020008,1,4,FALSE,,
SWIFT01_20230301_040014,0,47,FALSE,,
SWIFT01_20230301_040014,0,6,FALSE,,
SWIFT01_20230301_040014,0,55,FALSE,,
SWIFT01_20230301_040014,0,27,FALSE,,
SWIFT01_20230301_040014,1,0,FALSE,,
SWIFT01_20230301_040014,1,30,FALSE,,
SWIFT01_20230301_040014,1,33,FALSE,,
SWIFT01_20230301_040014,1,41,FALSE,,
SWIFT01_20230301_100037,0,20,TRUE,,
SWIFT01_20230301_100037,0,4,FALSE,,
SWIFT01_20230301_100037,0,36,TRUE,,
SWIFT01_20230301_100037,0,31,TRUE,,
SWIFT01_20230301_100037,1,48,FALSE,,
SWIFT01_20230301_100037,1,44,FALSE,,
SWIFT01_20230301_100037,1,40,FALSE,,
SWIFT01_20230301_100037,1,27,FALSE,,
SWIFT01_20230301_160057,0,25,FALSE,,
SWIFT01_20230301_160057,0,19,FALSE,,
SWIFT01_20230301_160057,0,43,FALSE,,
SWIFT01_20230301_160057,0,48,FALSE,,
SWIFT01_20230301_160057,1,18,TRUE,,
SWIFT01_20230301_160057,1,18,NA,,duplicate minute
SWIFT01_20230301_160057,1,4,TRUE,,
SWIFT01_20230301_160057,1,40,TRUE,,
SWIFT01_20230301_160057,1,3,TRUE,,
SWIFT01_20230301_180103,0,8,TRUE,,
SWIFT01_20230301_180103,0,20,TRUE,,
SWIFT01_20230301_180103,0,24,TRUE,,
SWIFT01_20230301_180103,0,42,FALSE,,
SWIFT01_20230301_180103,1,48,FALSE,,
SWIFT01_20230301_180103,1,3,FALSE,,
SWIFT01_20230301_180103,1,27,FALSE,,
SWIFT01_20230301_180103,1,36,FALSE,,
SWIFT01_20230301_200109,0,6,FALSE,,
SWIFT01_20230301_200109,0,36,FALSE,,
SWIFT01_20230301_200109,0,47,FALSE,,
SWIFT01_20230301_200109,0,6,NA,,duplicate minute
SWIFT01_20230301_200109,0,58,FALSE,,
SWIFT01_20230301_200109,1,25,FALSE,,
SWIFT01_20230301_200109,1,52,FALSE,,
SWIFT01_20230301_200109,1,57,FALSE,,
SWIFT01_20230301_200109,1,57,NA,,duplicate minute
SWIFT01_20230301_200109,1,8,FALSE,,
SWIFT01_20230302_000000,0,53,FALSE,,
SWIFT01_20230302_000000,0,19,FALSE,,
SWIFT01_20230302_000000,0,13,FALSE,,
SWIFT01_20230302_000000,0,3,FALSE,,
SWIFT01_20230302_000000,1,57,FALSE,,
SWIFT01_20230302_000000,1,8,FALSE,,
SWIFT01_20230302_000000,1,54,FALSE,,
SWIFT01_20230302_000000,1,27,FALSE,,
SWIFT01_20230302_020008,0,45,FALSE,,
SWIFT01_20230302_020008,0,45,NA,,duplicate minute
SWIFT01_20230302_020008,0,20,FALSE,,
SWIFT01_20230302_020008,0,54,FALSE,,
SWIFT01_20230302_020008,0,52,FALSE,,
SWIFT01_20230302_020008,1,59,FALSE,,
SWIFT01_20230302_020008,1,34,FALSE,,
SWIFT01_20230302_020008,1,1,FALSE,,
SWIFT01_20230302_020008,1,18,FALSE,,
SWIFT01_20230302_080023,0,41,FALSE,,
SWIFT01_20230302_080023,0,58,TRUE,,
SWIFT01_20230302_080023,0,37,FALSE,,
SWIFT01_20230302_080023,0,29,FALSE,,x
SWIFT01_20230302_080023,1,54,FALSE,,
SWIFT01_20230302_080023,1,6,FALSE,,
SWIFT01_20230302_080023,1,12,FALSE,,
SWIFT01_20230302_080023,1,36,FALSE,,
SWIFT01_20230302_160046,0,55,FALSE,,
SWIFT01_20230302_160046,0,42,TRUE,,
SWIFT01_20230302_160046,0,58,FALSE,,
SWIFT01_20230302_160046,0,50,TRUE,,
SWIFT01_20230302_160046,1,58,TRUE,,
SWIFT01_20230302_160046,1,25,FALSE,,
SWIFT01_20230302_160046,1,37,TRUE,,
SWIFT01_20230302_160046,1,32,TRUE,,
SWIFT01_20230302_180055,0,53,FALSE,,
SWIFT01_20230302_180055,0,26,FALSE,,
SWIFT01_20230302_180055,0,34,FALSE,,
SWIFT01_20230302_180055,0,44,FALSE,,
SWIFT01_20230302_180055,1,59,FALSE,,
SWIFT01_20230302_180055,1,36,FALSE,,
SWIFT01_20230302_180055,1,22,FALSE,,
SWIFT01_20230302_180055,1,7,FALSE,,
SWIFT01_20230302_220108,0,34,FALSE,,
SWIFT01_20230302_220108,0,22,FALSE,,
SWIFT01_20230302_220108,0,45,FALSE,,
SWIFT01_20230302_220108,0,13,FALSE,,
SWIFT01_20230302_220108,1,28,FALSE,,
SWIFT01_20230302_220108,1,51,FALSE,,
SWIFT01_20230302_220108,1,29,FALSE,,
SWIFT01_20230302_220108,1,15,FALSE,,
SWIFT01_20230303_060021,0,49,FALSE,,x
SWIFT01_20230303_060021,0,38,TRUE,,
SWIFT01_20230303_060021,0,32,TRUE,,
SWIFT01_20230303_060021,0,27,TRUE,,x
SWIFT01_20230303_060021,1,23,TRUE,,
SWIFT01_20230303_060021,1,26,FALSE,,
SWIFT01_20230303_060021,1,10,TRUE,,
SWIFT01_20230303_060021,1,25,FALSE,,
SWIFT01_20230303_100029,0,43,FALSE,,
SWIFT01_20230303_100029,0,7,FALSE,,
SWIFT01_20230303_100029,0,14,FALSE,,
SWIFT01_20230303_100029,0,35,FALSE,,
SWIFT01_20230303_100029,1,27,TRUE,,
SWIFT01_20230303_100029,1,34,FALSE,,
SWIFT01_20230303_100029,1,51,FALSE,,
SWIFT01_20230303_100029,1,41,FALSE,,
SWIFT01_20230303_120037,0,56,FALSE,,
